,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
624,acer,Predator,Intel,Core i7,10th,16 GB,DDR4,256 GB,1024 GB,Windows,64-bit,6,Casual,16,1,No,No,119990,140990,14,4.6,2038,313
627,acer,Predator,Intel,Core i7,11th,16 GB,DDR4,512 GB,1024 GB,Windows,64-bit,4,Casual,15.6,1,No,No,92990,130990,29,4.5,214,37
628,acer,Predator,Intel,Core i7,11th,16 GB,DDR4,512 GB,1024 GB,Windows,32-bit,6,Casual,15.6,1,No,No,119990,140990,14,4.5,342,54
633,ASUS,Missing,Intel,Core i9,10th,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,6,Casual,Missing,1,Yes,No,269990,326990,17,4.8,8,1
636,ASUS,Zephyrus,Intel,Core i9,11th,16 GB,DDR4,3072 GB,0 GB,Windows,32-bit,6,Casual,Missing,1,No,No,441990,441990,0,5.0,1,1
637,Smartron,t.book,Intel,Core m3,7th,4 GB,DDR3,128 GB,0 GB,Windows,64-bit,0,Casual,12.2,0,Yes,No,42990,45990,6,3.5,25,6
638,MSI,Katana,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,4,Casual,Missing,0,No,No,86990,117990,26,4.5,218,27
640,acer,Dual,AMD,Dual Core,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,31990,32990,3,4.0,762,104
641,MSI,Pulse,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,6,Casual,Missing,0,No,No,109990,139990,21,4.6,78,16
642,MSI,Pulse,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,4,Casual,Missing,0,No,No,109590,123990,11,4.6,5,2
643,ASUS,ROG,Intel,Core i7,10th,16 GB,LPDDR4X,0 GB,512 GB,DOS,32-bit,6,Casual,Missing,0,No,No,146490,146490,0,3.0,2,1
644,HP,Chromebook,Intel,Dual Core,10th,4 GB,DDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,61745,61745,0,4.6,23,4
653,MSI,GF65,Intel,Hexa Core,Missing,16 GB,DDR4,512 GB,0 GB,Windows,64-bit,6,Casual,15.6,2,No,No,76990,106990,28,4.5,298,49
654,MSI,GF63,Intel,Hexa Core,Missing,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Casual,15.6,2,No,No,55990,72990,23,4.4,2582,272
655,APPLE,MacBook,M1,M1,10th,8 GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,85990,92900,7,4.7,6725,629
656,APPLE,MacBook,M1,M1,10th,8 GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,112990,122900,8,4.8,640,70
657,APPLE,MacBook,M1,M1,10th,16 GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,104990,112900,7,4.7,45,4
658,APPLE,MacBook,M1,M1,10th,8 GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,112990,122900,8,4.8,640,70
659,APPLE,MacBook,M1,M1,10th,16 GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,132990,149900,11,4.8,640,70
660,APPLE,MacBook,M1,M1,10th,16 GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,104990,112900,7,4.7,45,4
661,APPLE,MacBook,M1,M1,10th,8 GB,DDR4,256 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,85990,92900,7,4.7,6725,629
662,APPLE,MacBook,M1,M1,10th,16 GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,149990,163900,8,4.8,640,70
663,APPLE,MacBook,M1,M1,10th,8 GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,125990,142900,11,4.6,399,45
664,APPLE,MacBook,M1,M1,10th,8 GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,103990,117900,11,4.7,809,91
665,APPLE,MacBook,M1,M1,10th,8 GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,101990,117900,13,4.7,809,91
666,APPLE,MacBook,M1,M1,10th,8 GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,104990,110900,5,4.7,6725,629
667,APPLE,MacBook,M1,M1,10th,8 GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,131990,142900,7,4.6,399,45
668,APPLE,MacBook,M1,M1,10th,16 GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,128990,137900,6,4.7,45,4
669,APPLE,MacBook,M1,M1,10th,16 GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,14.2,1,No,No,184990,194900,5,4.8,42,8
670,APPLE,MacBook,M1,M1,10th,16 GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,16.2,1,No,No,225990,239900,5,4.8,42,8
671,APPLE,MacBook,M1,M1,10th,4 GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,16,1,No,No,124990,132900,5,4.7,45,4
672,APPLE,MacBook,M1,M1,10th,8 GB,DDR4,512 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,104990,110900,5,4.7,6725,629
673,APPLE,MacBook,M1,M1,10th,8 GB,DDR4,1024 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,149990,163900,8,4.8,640,70
674,APPLE,MacBook,M1,M1,10th,16 GB,DDR4,1024 GB,0 GB,Mac,64-bit,0,Casual,13.3,1,No,No,169990,183900,7,4.8,640,70
675,APPLE,MacBook,M1,M1,10th,16 GB,DDR4,1024 GB,0 GB,Mac,64-bit,0,Casual,14.2,1,No,No,225990,239900,5,4.8,42,8
676,APPLE,MacBook,M1,M1,10th,16 GB,DDR4,1024 GB,0 GB,Mac,64-bit,0,Casual,16.2,1,No,No,243990,259900,6,4.8,42,8
677,APPLE,MacBook,M1,M1,10th,32 GB,DDR4,1024 GB,0 GB,Mac,64-bit,0,Casual,16.2,1,No,No,309990,329900,6,5.0,3,1
678,APPLE,MacBook,M1,M1,10th,16 GB,DDR4,1024 GB,0 GB,Mac,64-bit,0,Casual,14.2,1,No,No,225990,239900,5,4.8,42,8
683,iball,CompBook,Intel,Pentium Quad,Missing,4 GB,DDR3,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,13990,19999,30,3.8,1218,209
686,HP,Pentium,Intel,Pentium Quad,Missing,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,32990,36865,10,4.1,77,9
687,ASUS,VivoBook,Intel,Pentium Quad,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,33990,39990,15,4.3,6,0
688,acer,Extensa,Intel,Pentium Quad,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,30990,34990,11,4.2,465,89
689,DELL,Inspiron,Intel,Pentium Quad,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,36000,43000,16,4.3,102,16
690,ASUS,VivoBook,Intel,Pentium Quad,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,32990,39990,17,4.3,7,1
693,ASUS,Pentium,Intel,Pentium Quad,Missing,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,25990,40108,35,3.7,4741,658
694,ASUS,Pentium,Intel,Pentium Quad,Missing,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,25990,30990,16,3.8,2736,350
696,ASUS,VivoBook,Intel,Pentium Silver,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,29990,38990,23,4.0,36,3
697,ASUS,EeeBook,Intel,Pentium Silver,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,31990,40990,21,3.8,5,0
699,HP,Ryzen,AMD,Ryzen 3,Missing,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,37990,46055,17,4.3,2214,241
700,ASUS,Ryzen,AMD,Ryzen 3,Missing,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,35990,46990,23,4.3,2886,375
701,DELL,Inspiron,AMD,Ryzen 3,Missing,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,39490,49714,20,4.3,34,4
